model_key,config,figures,display_name,label,color,Architecture,Hidden Layers,Algorithm,W Learning Rule,B Learning Rule,Bias
bpDale_learned_bias_spiral,20250108_EIANN_2_hidden_spiral_bpDale_fixed_SomaI_learned_bias_config_complete_optimized.yaml,4,Backprop (EIANN),Backprop (EIANN) fixed SomaI learned bias,blue,EIANN,2,Backprop,Gradient Descent,Symmetric ($B=W^T$),Learned
DTP_learned_bias_spiral,20250108_EIANN_2_hidden_spiral_DTP_fixed_SomaI_learned_bias_config_complete_optimized.yaml,4,Dendritic \nTarget Propagation,Dend. Target Prop. (learned bias),red,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Learned
bpLike_DTC_learned_bias_spiral,20250108_EIANN_2_hidden_spiral_BP_like_1_fixed_SomaI_learned_bias_config_complete_optimized.yaml, ,bpLike_DTC_learned_bias_spiral,Backprop-Like fixed SomaI learned bias,purple,Dend EIANN,2,Dend. Temp. Contrast,LDS,Symmetric ($B=W^T$),Learned
DTP_fixed_DendI_learned_bias_1_spiral,20250217_EIANN_2_hidden_spiral_DTP_fixed_DendI_fixed_SomaI_learned_bias_1_config_complete_optimized.yaml, ,Dend Target Prop fixed DendI/SomaI learned bias (1),Dend Target Prop fixed DendI/SomaI learned bias (1),red,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Learned
DTP_fixed_DendI_learned_bias_2_spiral,20250217_EIANN_2_hidden_spiral_DTP_fixed_DendI_fixed_SomaI_learned_bias_2_config_complete_optimized.yaml, ,Dend Target Prop fixed DendI/SomaI learned bias (2),Dend Target Prop fixed DendI/SomaI learned bias (2),red,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Learned
DTP_fixed_DendI_learned_bias_3_spiral,20250217_EIANN_2_hidden_spiral_DTP_fixed_DendI_fixed_SomaI_learned_bias_3_config_complete_optimized.yaml, ,Dend Target Prop fixed DendI/SomaI learned bias (3),Dend Target Prop fixed DendI/SomaI learned bias (3),red,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Learned
fmnist_DTP_TCWN_hebbdend,20250619_EIANN_2_hidden_fmnist_DTP_config_5J_learn_TD_HTCWN_2_zero_bias_complete_optimized.yaml, ,Dend Target Prop,Dend. Target Prop. (learned bias),black,Dend EIANN,2,Dend Target Prop,LDS,TCH + Weight Norm.,Learned
fmnist_DTP_WT_hebbdend,20250607_EIANN_2_hidden_fmnist_DTP_config_5J_zero_bias_complete_optimized.yaml, ,Dend Target Prop,Dend. Target Prop.,black,Dend EIANN,2,Dend Target Prop,LDS,Symmetric ($B=W^T$),Learned
fmnist_BTSP_TCWN_hebbdend,20250619_EIANN_2_hidden_fmnist_BTSP_config_5L_learn_TD_HTCWN_3_zero_bias_complete_optimized.yaml, ,BTSP,Learned B: TCH (BTSP),black,Dend EIANN,2,Dend Target Prop,BTSP,TCH + Weight Norm.,Learned
fmnist_BTSP_WT_nobias_hebbdend,20250619_EIANN_2_hidden_fmnist_BTSP_config_5L_zero_bias_complete_optimized.yaml, ,BTSP,Symmetric B=W (BTSP),black,Dend EIANN,2,Dend Target Prop,BTSP,Symmetric ($B=W^T$),Zero
fmnist_vanBP_nobias,20250606_EIANN_2_hidden_fmnist_van_bp_relu_SGD_config_G_zero_bias_complete_optimized.yaml, ,Feedforward ANN,Backprop (ANN),black,ANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
fmnist_bpDale_nobias,20250606_EIANN_2_hidden_fmnist_bpDale_relu_SGD_config_G_zero_bias_complete_optimized.yaml, ,Backprop,Backprop (EIANN),black,EIANN,2,Backprop,Gradient descent,Symmetric ($B=W^T$),Zero
